time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,sunshine_duration,daylight_duration
2005-01-01,22.4,14.1,17.7,22.2,13.4,17.1,88,53,70,0.0,0.0,0.0,19.6,36.4,121,13.22,2.61,36000.0,37298.0
2005-01-02,22.1,10.8,16.4,21.7,10.4,16.3,100,45,76,0.0,0.0,0.0,8.9,22.0,210,12.14,2.19,29982.52,37325.68
2005-01-03,19.9,10.5,14.2,17.8,9.1,12.6,96,46,75,0.0,0.0,0.0,15.1,30.6,314,13.36,2.44,36000.0,37355.57
2005-01-04,19.7,7.7,13.3,17.1,5.6,11.2,95,42,72,0.0,0.0,0.0,13.8,28.8,312,14.68,2.56,36000.0,37387.64
2005-01-05,19.4,8.0,13.1,17.7,6.1,11.4,96,45,74,0.0,0.0,0.0,10.2,23.4,304,14.29,2.37,36000.0,37421.84
2005-01-06,19.7,7.1,12.9,17.3,5.3,10.9,96,43,73,0.0,0.0,0.0,13.0,26.6,314,14.85,2.57,36000.0,37458.12
2005-01-07,20.0,7.6,13.1,16.9,5.0,10.5,93,40,69,0.0,0.0,0.0,16.6,33.5,301,15.06,2.81,36000.0,37496.41
2005-01-08,20.6,8.0,13.6,17.8,5.5,11.3,88,38,66,0.0,0.0,0.0,14.0,30.2,297,14.97,2.74,36000.0,37536.69
2005-01-09,21.7,6.7,14.1,19.9,4.8,12.7,96,44,72,0.0,0.0,0.0,11.3,25.6,310,14.59,2.57,36000.0,37578.89
2005-01-10,20.4,8.3,14.3,18.3,6.8,12.7,97,45,74,0.0,0.0,0.0,13.4,28.8,309,13.12,2.44,36000.0,37622.97
2005-01-11,20.6,8.1,13.9,18.3,6.1,11.9,93,34,66,0.0,0.0,0.0,10.3,25.2,324,15.22,2.78,36000.0,37668.88
2005-01-12,20.3,6.5,13.1,17.4,4.1,10.6,89,32,61,0.0,0.0,0.0,12.5,28.1,307,15.51,2.88,36000.0,37716.6
2005-01-13,21.1,7.0,13.4,17.4,4.3,10.5,85,29,57,0.0,0.0,0.0,16.4,31.7,301,15.45,3.17,36000.0,37766.63
2005-01-14,22.2,8.8,14.9,18.7,5.8,11.9,77,28,54,0.0,0.0,0.0,14.5,31.0,308,15.24,3.41,36000.0,37819.1
2005-01-15,21.8,10.4,15.3,19.2,8.3,13.2,80,33,59,0.0,0.0,0.0,12.3,24.8,324,14.03,2.89,36000.0,37873.9
2005-01-16,21.3,10.2,14.9,18.0,7.9,12.7,85,29,59,1.3,1.3,4.0,11.9,28.4,16,12.29,2.67,36000.0,37930.93
2005-01-17,19.8,10.9,14.5,18.5,9.4,13.0,95,47,71,0.7,0.7,2.0,12.3,22.7,22,12.13,2.25,36000.0,37990.07
2005-01-18,18.8,8.2,12.8,15.7,6.6,10.6,98,32,68,0.0,0.0,0.0,14.3,30.6,324,15.68,2.78,36000.0,38051.24
2005-01-19,18.6,4.6,11.5,14.5,1.9,8.5,90,30,61,0.0,0.0,0.0,17.6,35.3,310,16.38,3.01,36000.0,38114.33
2005-01-20,18.5,7.6,12.1,14.5,4.8,9.0,84,30,59,0.0,0.0,0.0,16.9,34.6,306,12.98,2.73,29299.85,38179.23
2005-01-21,15.8,7.2,11.9,13.9,4.8,9.8,80,46,63,0.3,0.3,2.0,9.0,17.6,337,6.85,1.48,9179.7,38245.85
2005-01-22,17.3,9.0,12.6,14.7,7.1,10.5,91,51,75,4.4,4.4,20.0,15.6,35.6,113,12.56,2.11,36000.0,38314.08
2005-01-23,15.9,8.0,11.3,13.0,5.9,9.3,100,48,77,0.9,0.9,4.0,14.5,30.6,322,13.04,2.04,36000.0,38383.84
2005-01-24,16.2,5.6,10.9,14.0,3.6,9.0,97,52,76,0.0,0.0,0.0,9.2,22.3,316,12.42,1.98,31836.9,38455.0
2005-01-25,17.3,7.2,12.0,15.6,5.1,10.3,95,51,75,0.0,0.0,0.0,9.3,22.7,313,12.4,2.03,27767.81,38527.51
2005-01-26,19.1,7.4,12.8,17.7,5.4,11.1,94,48,74,0.0,0.0,0.0,10.2,25.9,314,16.26,2.59,36000.0,38601.24
2005-01-27,21.1,8.1,14.4,19.8,6.7,13.1,94,41,71,3.4,3.4,4.0,11.3,23.8,105,15.96,2.87,36000.0,38676.11
2005-01-28,19.8,11.3,15.1,19.0,10.3,14.1,97,47,74,9.9,9.9,6.0,10.8,23.8,38,14.12,2.35,36000.0,38752.04
2005-01-29,18.2,9.6,13.8,17.4,8.0,12.5,93,56,76,0.2,0.2,2.0,10.9,22.0,350,12.86,2.09,36000.0,38828.92
2005-01-30,19.0,9.1,13.7,18.7,7.9,12.9,97,56,81,0.6,0.6,3.0,10.1,20.2,348,12.73,2.03,36000.0,38906.67
2005-01-31,20.5,10.0,14.9,20.0,8.8,13.9,96,47,75,0.0,0.0,0.0,10.6,19.8,329,15.83,2.72,36065.39,38985.2
2005-02-01,18.8,9.2,13.7,16.9,7.5,11.8,95,42,70,0.0,0.0,0.0,12.7,29.2,304,17.48,2.9,36318.51,39064.47
2005-02-02,19.4,7.3,12.9,17.2,4.7,10.5,84,41,65,0.0,0.0,0.0,14.5,33.1,297,17.51,3.03,36570.62,39145.22
2005-02-03,20.0,5.5,12.8,18.6,3.4,10.9,94,37,67,0.0,0.0,0.0,9.6,21.2,326,16.88,2.9,36000.0,39227.65
2005-02-04,21.7,7.8,14.6,20.1,5.9,12.9,87,39,64,0.0,0.0,0.0,9.8,24.1,106,16.3,2.99,36239.94,39311.66
2005-02-05,22.4,8.5,15.3,21.3,6.3,14.0,89,36,66,1.4,1.4,3.0,9.5,23.0,109,16.55,2.96,34461.3,39397.14
2005-02-06,19.8,11.6,15.4,18.3,10.8,14.2,91,60,77,3.0,3.0,9.0,17.3,34.2,99,11.05,2.15,33417.13,39483.99
